0.000209,0.392,205160,0.816,0.371,4,0.327,-11.267,0,0.048,138.077,4,0.0373,18
0.103,0.409,31340,0.839,0,10,0.657,-10.477,0,0.314,139.716,4,0.652,14
0.00704,0.425,58910,0.922,0.0109,7,0.331,-10.325,1,0.0526,138.055,4,0.695,16
1.39E-05,0.448,210000,0.85,0.0228,0,0.539,-10.879,1,0.0349,128.052,4,0.218,18
0.000648,0.465,64370,0.855,0.254,7,0.462,-11.082,1,0.054,138.076,4,0.543,16
0.000151,0.43,89980,0.876,0.317,7,0.184,-12.224,0,0.0941,127.994,4,0.75,18
0.283,0.465,32190,0.616,0,11,0.584,-10.644,1,0.199,148.377,4,0.878,13
0.0472,0.254,45330,0.314,0.51,0,0.181,-12.533,1,0.043,138.033,4,0.493,15
0.19,0.423,154470,0.449,0.43,2,0.482,-12.176,0,0.0335,128.059,4,0.165,17
0.000643,0.296,261059,0.58,0.000176,0,0.262,-11.186,1,0.0476,127.613,4,0.156,16
0.0416,0.441,42230,0.836,0,0,0.307,-10.729,0,0.095,137.647,4,0.634,14
4.57E-05,0.421,180410,0.561,0.8,10,0.169,-12.234,1,0.0468,127.934,4,0.0524,19
0.00052,0.399,173790,0.571,0.0594,5,0.277,-11.42,0,0.0458,128.064,4,0.243,17
0.0493,0.423,33160,0.675,0,7,0.433,-10.714,1,0.199,142.369,3,0.808,13
0.00883,0.408,75000,0.668,0.96,8,0.151,-11.939,0,0.0584,127.879,4,0.0917,15
4.90E-06,0.523,40990,0.586,0.765,1,0.832,-11.145,1,0.057,127.962,4,0.336,14
0.000997,0.379,135000,0.483,0.0037,1,0.507,-11.232,1,0.0567,128.096,4,0.126,16
0.261,0.481,33400,0.783,0,11,0.644,-10.937,0,0.356,77.539,3,0.752,13
0.000121,0.44,322400,0.789,0.235,1,0.242,-10.886,1,0.0473,127.963,4,0.192,16
4.27E-05,0.21,189100,0.506,0.038,4,0.207,-10.958,0,0.0512,122.931,4,0.134,16
4.20E-06,0.485,60000,0.86,0.823,11,0.347,-12.26,0,0.41,127.993,4,0.311,15
0.371,0.397,37434,0.631,0.514,8,0.488,-13.278,0,0.0506,128.084,4,0.66,15
